Part	Country	Site	Cultural phase/ Dates	Dates	Notes on Dating	Confidence	Lower Range BC	Lower Range CE	Lower Range BP	Upper Range BC	Upper Range CE	Upper Range BP	Records	Latitude	Longtitude
Europe	France	Bourges, Littré	Hallstatt D2/3	550/530-480/450 BCE		Maybe	550		2500	450		2400	1 specimen	47.08552	2.39076
Europe	France	Bourges, Saint-Martin-des-Champs	Hallstatt D2/3	550/530-480/450 BCE		Maybe	550		2500	450		2400	21 specimens	47.15696	2.91028
Europe	France	Lyon, 10 rue Marietton	Hallstatt D2/3	550/530-480/450 BCE		Maybe	550		2500	450		2400	?	45.77521	4.80685
Europe	France	Lyon, 65 rue du Souvenir	Hallstatt D2/3	550/530-480/450 BCE		Maybe	550		2500	450		2400	1 specimen	45.77541	4.79597
Europe	France	Lyon, rue du Docteur Horand	Hallstatt D2/3	550/530-480/450 BCE		Maybe	550		2500	450		2400	1 specimen	45.77181	4.80185
Europe	France	Lyon, Station métro Gorge-de-Loup	Hallstatt D2/3	550/530-480/450 BCE		Maybe	550		2500	450		2400	?	45.76683	4.80332
Europe	France	Roquelaure, Occitanie	Iron Age I	~600-400 BCE		No	600		2550	400		2350	1 specimen	43.721111	0.579722
Europe	France	Basly, Normandie	Hallstatt D/La Tène A	~600-400 BCE		Maybe	600		2550	400		2350	2 specimens	49.279675	-0.423489
Europe	France	Ohlungen, Alsace	Hallstatt D	~600-450 BCE		Maybe	600		2550	450		2400	Cock Depiction	48.8119	7.7017
Europe	France	Saint-Martory, Occitanie	Iron Age I	7th - 6th century BCE		Maybe	700		2650	501		2451	1 specimen	43.1436	0.93
Europe	Germany	Dornach/München	La Tène D	150-15 BCE		Maybe	150		2100	15		1965	1 specimen	48.1539	11.6899
Europe	Germany	Ülversheim	La Tène C-D 	250-15 BCE		No	250		2200	15		1965	7 specimens	49.81	8.288333
Europe	Germany	Manching	La Tène C-D2	250-50/30 BCE		No	250		2200	30		1980	> 200 specimens	48.718611	11.497222
Europe	Germany	Berching-Pollanten	La Tène C2-D	250-50/30 BCE		No	250		2200	30		1980	3 specimens	49.144764	11.458646
Europe	Germany	Reinheim	La Tène A-B	400-370 BCE		Maybe	400		2350	370		2320	figurine	49.826944	8.830833
Europe	Germany	Mengen 	Hallstatt D/La Tène A	~600-480/450 BCE		Maybe	600		2550	450		2400	?	48.049722	9.33
Europe	Germany	Heuneburg	Hallstatt D - La Tène A 	600-480/450 BCE		Maybe	600		2550	450		2400	25 specimens	48.0947	9.4119
Europe	Germany	Beckinghausen	Oberaden horizon	11-8/7 BCE		Maybe	11		1961	7		1957	7 specimens	51.612816	7.562357
Europe	Germany	Regensburg-Harting	La Tène D2	120/80-60/40 BCE		Maybe	120		2070	40		1990	3 specimens	48.9856	12.1724
Europe	Germany	Aschheim	La Tène D	120/80-60/40 BCE		Maybe	120		2070	40		1990	1 specimen	48.173333	11.717778
Europe	Germany	Langenpreising	La Tène D	120/80-60/40 BCE		Maybe	120		2070	40		1990	7 specimens	48.433333	11.966667
Europe	Germany	Erfurt	La Tène  D	190/150-15 BCE		Maybe	190		2140	15		1965	8 specimens	50.983333	11.033333
Europe	Germany	Hoppstädten-Weiersbach	La Tène D	190/150-15 BCE		Maybe	190		2140	15		1965	5 skeletons	49.61477	7.18865
Europe	Germany	Holzhausen	La Tène D	190/150-15 BCE		Maybe	190		2140	15		1965	2 specimens	48.00789	11.08982
Europe	Germany	Kleinkayna	La Tène D	190/150-15 BCE		Maybe	190		2140	15		1965	2 specimens	51.28702	11.93028
Europe	Germany	Heimbach-Weis 	La Tène D	190/150-15 BCE 		Maybe	190		2140	15		1965	12 specimens	50.44925	7.54478
Europe	Germany	Remda	La Tène D 	190/150-15 BCE 		Maybe	190		2140	15		1965	2 specimens	50.75928	11.22797
Europe	Germany	Gotha	Pre-Roman Iron Age 	200-1 BCE		Maybe	200		2150	1		1951	17 specimens	50.948889	10.718333
Europe	Germany	Leimbach	Pre-Roman Iron Age	200-1 BCE		Maybe	200		2150	1		1951	11 specimens	50.816667	10.199722
Europe	Germany	Nordhausen-Himmelgarten	Pre-Roman Iron Age	200-1 BCE		Maybe	200		2150	1		1951	1 specimen	51.503	10.836
